wavelength transmission
966 0.115
967 0.145
968 0.185
969 0.23
970 0.303
971 0.395
972 0.49
973 0.628
974 0.802
975 1.02
976 1.32
977 1.68
978 2.17
979 2.8
980 3.62
981 4.74
982 6.26
983 8.35
984 11.2
985 15
986 20.1
987 26.6
988 34.5
989 43.7
990 52.9
991 61.8
992 69.6
993 75.5
994 80
995 83.3
996 85.6
997 87.2
998 88.2
999 88.8
1000 89.2
1001 89.4
1002 89.4
1003 89.5
1004 89.5
1005 89.6
1006 89.7
1007 89.9
1008 90.2
1009 90.3
1010 90.6
1011 90.7
1012 90.8
1013 90.9
1014 90.9
1015 90.8
1016 90.8
1017 90.6
1018 90.6
1019 90.5
1020 90.5
1021 90.5
1022 90.5
1023 90.6
1024 90.7
1025 90.8
1026 91
1027 91.2
1028 91.5
1029 91.7
1030 91.9
1031 92.1
1032 92.2
1033 92.3
1034 92.6
1035 92.7
1036 92.7
1037 92.9
1038 93
1039 93.2
1040 93.1
1041 93.2
1042 93.3
1043 93.3
1044 93.5
1045 93.5
1046 93.6
1047 93.7
1048 93.7
1049 93.9
1050 94
1051 94
1052 94.1
1053 94.2
1054 94.3
1055 94.5
1056 94.5
1057 94.6
1058 94.7
1059 94.8
1060 94.8
1061 94.9
1062 94.9
1063 95
1064 94.9
1065 94.9
1066 94.9
1067 94.9
1068 94.9
1069 94.7
1070 94.8
1071 94.7
1072 94.6
1073 94.6
1074 94.6
1075 94.6
1076 94.6
1077 94.7
1078 94.8
1079 94.9
1080 95
1081 95
1082 94.8
1083 94.2
1084 93
1085 90.9
1086 87.8
1087 83.3
1088 77.3
1089 70
1090 61.7
1091 52.8
1092 44
1093 36
1094 28.8
1095 22.7
1096 17.8
1097 13.9
1098 10.8
1099 8.37
1100 6.53
1101 5.08
1102 3.97
1103 3.12
1104 2.46
1105 1.95
1106 1.55
1107 1.24
1108 0.985
1109 0.809
1110 0.677
1111 0.541
1112 0.449
1113 0.377
1114 0.313
1115 0.269
1116 0.22
1117 0.183
1118 0.164
1119 0.14
1120 0.113
