wavelength  qe
250     0
260     0
270     0
280     0
290     0
300     0
310     0
320     0
330     0
340     0
350     0
360     0
370     0
380     0
390     0
400     0
410     0.0025
420     0.005
430     0.0075
440     0.01
450     0.015
460     0.02
470     0.04
480     0.11
490     0.12
500     0.15
510     0.22
520     0.3
530     0.35
540     0.37
550     0.345
560     0.325
570     0.275
580     0.225
590     0.15
600     0.09
610     0.045
620     0.02
630     0.01
640     0
650     0
660     0
670     0.005
680     0.01
690     0.0175
700     0.025
710     0.0275
720     0.03
730     0.03
740     0.03
750     0.04
760     0.05
770     0.06
780     0.07
790     0.075
800     0.08
810     0.08
820     0.08
830     0.08
840     0.08
850     0.0725
860     0.065
870     0.0575
880     0.05
890     0.045
900     0.04
910     0.035
920     0.03
930     0.025
940     0.02
950     0.0175
960     0.015
970     0.0125
980     0.01
990     0.009
1000    0.008
1010    0.007
1020    0.006
1030    0.005
1040    0.004
1050    0.002
1060    0
1070    0
1080    0
1090    0
