wavelength  qe
250     0
260     0
270     0
280     0
290     0
300     0
310     0
320     0
330     0
340     0
350     0
360     0
370     0
380     0
390     0
400     0.01
410     0.01
420     0.01
430     0.01
440     0.01
450     0.0125
460     0.015
470     0.0175
480     0.0175
490     0.0175
500     0.0175
510     0.0175
520     0.0175
530     0.0175
540     0.0175
550     0.0175
560     0.0175
570     0.01
580     0.0175
590     0.06
600     0.175
610     0.275
620     0.305
630     0.29
640     0.285
650     0.275
660     0.27
670     0.26
680     0.25
690     0.24
700     0.23
710     0.22
720     0.21
730     0.195
740     0.18
750     0.17
760     0.16
770     0.1475
780     0.135
790     0.1275
800     0.12
810     0.11
820     0.1
830     0.09
840     0.08
850     0.0725
860     0.065
870     0.0575
880     0.05
890     0.045
900     0.04
910     0.035
920     0.03
930     0.025
940     0.02
950     0.0175
960     0.015
970     0.0125
980     0.01
990     0.009
1000    0.008
1010    0.007
1020    0.006
1030    0.005
1040    0.004
1050    0.002
1060    0
1070    0
1080    0
1090    0
